iter	MultiClass	Accuracy
644	-0.05306545631	0.9971305595
645	-0.05294258904	0.9971305595
646	-0.0528285501	0.9971305595
647	-0.05273694955	0.9971305595
648	-0.05261125161	0.9971305595
649	-0.05248570073	0.9971305595
650	-0.05237529664	0.9971305595
651	-0.05227244183	0.9971305595
652	-0.05218372958	0.9971305595
653	-0.05206324917	0.9971305595
654	-0.05190720604	0.9971305595
655	-0.0517410925	0.9971305595
656	-0.0516407874	0.9971305595
657	-0.05155678687	0.9971305595
658	-0.05144613461	0.9971305595
659	-0.05134513732	0.9971305595
660	-0.05123116106	0.9971305595
661	-0.05114595872	0.9971305595
662	-0.05100435537	0.9971305595
663	-0.05086251203	0.9971305595
664	-0.05076545146	0.9971305595
665	-0.05064531608	0.9971305595
666	-0.05055659383	0.9971305595
667	-0.05047898776	0.9971305595
668	-0.0503494372	0.9971305595
669	-0.05024410477	0.9971305595
670	-0.0501462811	0.9971305595
671	-0.05000328764	0.9971305595
672	-0.04986886861	0.9971305595
673	-0.04976553524	0.9971305595
674	-0.04964262888	0.9971305595
675	-0.04951578267	0.9971305595
676	-0.04937370936	0.9971305595
677	-0.04927365561	0.9971305595
678	-0.04919130448	0.9971305595
679	-0.0490991505	0.9971305595
680	-0.04899632211	0.9971305595
681	-0.04888575423	0.9971305595
682	-0.04880356888	0.9971305595
683	-0.04870783231	0.9971305595
684	-0.04855121311	0.9971305595
685	-0.04841246707	0.9971305595
686	-0.04831925108	0.9971305595
687	-0.04821625601	0.9971305595
688	-0.04808739449	0.9971305595
689	-0.04799565171	0.9971305595
690	-0.04790968538	0.9971305595
691	-0.0478363754	0.9971305595
692	-0.04773749762	0.9971305595
693	-0.04764081356	0.9971305595
694	-0.0475198967	0.9971305595
695	-0.04739888009	0.9971305595
696	-0.04730101779	0.9985652798
697	-0.04718132868	0.9985652798
698	-0.04706225894	0.9985652798
699	-0.04696765269	0.9985652798
700	-0.04690275198	0.9985652798
701	-0.04681114642	0.9985652798
702	-0.04674992275	0.9985652798
703	-0.04667300071	0.9985652798
704	-0.04657917789	0.9985652798
705	-0.04647531173	0.9985652798
706	-0.04637723758	0.9985652798
707	-0.04626191833	0.9985652798
708	-0.04618533448	0.9985652798
709	-0.04601241228	0.9985652798
710	-0.04591821813	0.9985652798
711	-0.04579780532	0.9985652798
712	-0.04571421086	0.9985652798
713	-0.04559379916	0.9985652798
714	-0.04551462154	0.9985652798
715	-0.04545633735	0.9985652798
716	-0.04536467483	0.9985652798
717	-0.04523549638	0.9985652798
718	-0.04514346418	0.9985652798
719	-0.04504475781	0.9985652798
720	-0.04497772541	0.9985652798
721	-0.04489443306	0.9985652798
722	-0.04480054282	0.9985652798
723	-0.04473219795	0.9985652798
724	-0.04465203641	0.9985652798
725	-0.04454895362	0.9985652798
726	-0.04443129913	0.9985652798
727	-0.04431938673	0.9985652798
728	-0.04423664439	0.9985652798
729	-0.0441433743	0.9985652798
730	-0.04402631706	0.9985652798
731	-0.04394698405	0.9985652798
732	-0.04387785416	0.9985652798
733	-0.04381436247	0.9985652798
734	-0.04367801713	0.9985652798
735	-0.04357509316	0.9985652798
736	-0.04348440349	0.9985652798
737	-0.04340852899	0.9985652798
738	-0.04331971898	0.9985652798
739	-0.0432295494	0.9985652798
740	-0.04314221701	0.9985652798
741	-0.0430286579	0.9985652798
742	-0.0429038381	0.9985652798
743	-0.04282938452	0.9985652798
744	-0.04273078581	0.9985652798
745	-0.04261678482	0.9985652798
746	-0.04254839275	0.9985652798
747	-0.04243856486	0.9985652798
748	-0.04235650834	0.9985652798
749	-0.04227924372	0.9985652798
750	-0.04218958013	0.9985652798
751	-0.04208481758	0.9985652798
752	-0.04199801355	0.9985652798
753	-0.04187464564	0.9985652798
754	-0.04175688631	1
755	-0.04167857454	1
756	-0.04160793036	1
757	-0.04152565242	1
758	-0.04144950896	1
759	-0.04137270025	1
760	-0.04128362641	1
761	-0.04120630524	1
762	-0.04114489995	1
763	-0.04105595251	1
764	-0.04097845632	1
765	-0.04090598816	1
766	-0.04083707838	1
767	-0.04076926119	1
768	-0.04071140216	1
769	-0.04063677252	1
770	-0.04053673214	1
771	-0.04046536783	1
772	-0.04038272505	1
773	-0.04030020142	1
774	-0.0402288748	1
775	-0.04011424858	1
776	-0.04001983681	1
777	-0.03996313252	1
778	-0.03989352638	1
779	-0.03984614933	1
780	-0.0397600577	1
781	-0.03966877335	1
782	-0.03959221519	1
783	-0.03949808458	1
784	-0.03942707946	1
785	-0.0393801416	1
786	-0.03930895153	1
787	-0.03924444043	1
788	-0.03916192149	1
789	-0.03910283195	1
790	-0.03902850307	1
791	-0.03895676121	1
792	-0.03889553459	1
793	-0.03884970682	1
794	-0.03879934983	1
795	-0.03870426452	1
796	-0.0386509309	1
797	-0.03857020432	1
798	-0.03849440654	1
799	-0.03842903262	1
800	-0.03833239598	1
801	-0.03824869908	1
802	-0.03820874518	1
803	-0.03814066704	1
804	-0.03805716938	1
805	-0.03799460628	1
806	-0.03791539907	1
807	-0.03783468015	1
808	-0.03774556893	1
809	-0.03767029703	1
810	-0.03757308142	1
811	-0.03751749842	1
812	-0.03747083906	1
813	-0.03738356492	1
814	-0.0373013324	1
815	-0.03724292432	1
816	-0.03718150019	1
817	-0.03710476542	1
818	-0.03703131659	1
819	-0.03695974763	1
820	-0.03690535819	1
821	-0.03682156424	1
822	-0.03676675517	1
823	-0.0366954368	1
824	-0.03662536853	1
825	-0.03655625647	1
826	-0.03647191699	1
827	-0.03642605477	1
828	-0.03636545919	1
829	-0.03630218398	1
830	-0.03622355752	1
831	-0.03616415922	1
832	-0.0360901143	1
833	-0.03601512108	1
834	-0.03597067348	1
835	-0.03590514076	1
836	-0.03583334362	1
837	-0.03574590525	1
838	-0.03567992095	1
839	-0.03561218707	1
840	-0.03555080367	1
841	-0.03550514009	1
842	-0.03541531049	1
843	-0.03534006471	1
844	-0.03527798958	1
845	-0.03521939883	1
846	-0.03517578863	1
847	-0.03510495562	1
848	-0.03503717579	1
849	-0.03496951393	1
850	-0.03490429077	1
851	-0.03484009684	1
852	-0.03479495116	1
